Time(s),Drum_Angle(deg),Drum_Velocity(deg/s),Drum_Acceleration(deg/s^2)
0.0,45.0,0.0,-0.0022135608667281544
0.1,45.0,-0.00022135608667281544,-0.0019865356135514035
0.2,44.99997786439133,-0.0004200096480279558,-0.0017868343572800722
0.30000000000000004,44.99993586342653,-0.0005986930837559631,-0.0015795671966977163
0.4,44.999875994118156,-0.0007566498034257347,-0.001399938527418994
0.5,44.99980032913781,-0.000896643656167634,-0.0012617038973313465
0.6000000000000001,44.999710664772195,-0.0010228140459007688,-0.0011077699011603772
0.7000000000000001,44.99960838336761,-0.0011335910360168065,-0.0009345344291950954
0.8,44.999495024264,-0.001227044478936316,-0.000775562753035468
0.9,44.99937231981611,-0.0013046007542398628,-0.0007415647505428036
1.0,44.999241859740685,-0.0013787572292941431,-0.0007899176846871529
1.1,44.99910398401776,-0.0014577489977628585,-0.00081144947755898
1.2000000000000002,44.99895820911798,-0.0015388939455187566,-0.0008038224837382893
1.3,44.998804319723426,-0.0016192761938925854,-0.0007284401824078194
1.4000000000000001,44.99864239210404,-0.0016921202121333674,-0.0006435984248595343
1.5,44.998473180082826,-0.0017564800546193207,-0.0005444884207581216
1.6,44.998297532077366,-0.001810928896695133,-0.00043298501841995647
1.7000000000000002,44.9981164391877,-0.0018542273985371286,-0.0003934104439696015
1.8,44.99793101644784,-0.0018935684429340887,-0.00044711831844128494
1.9000000000000001,44.99774165960355,-0.0019382802747782172,-0.0006319516798182325
2.0,44.99754783157607,-0.0020014754427600404,-0.0008600327367731193
2.1,44.997347684031794,-0.0020874787164373524,-0.001045672997392835
2.2,44.99713893616015,-0.002192046016176636,-0.0012148250061868443
2.3000000000000003,44.996919731558535,-0.0023135285167953205,-0.0013304414623501327
2.4000000000000004,44.99668837870685,-0.002446572663030334,-0.0014294683733583715
2.5,44.99644372144055,-0.0025895195003661706,-0.0014870152041890944
2.6,44.99618476949051,-0.00273822102078508,-0.0015797093921846796
2.7,44.99591094738843,-0.0028961919600035482,-0.0016996989072234844
2.8000000000000003,44.995621328192435,-0.003066161850725897,-0.0017996115861430271
2.9000000000000004,44.995314712007364,-0.0032461230093401997,-0.0018886291853085593
3.0,44.99499009970643,-0.003434985927871055,-0.0020234164599331897
3.1,44.99464660111364,-0.003637327573864374,-0.0021049863675646806
3.2,44.99428286835625,-0.0038478262106208423,-0.0022384463693057746
3.3000000000000003,44.99389808573519,-0.00407167084755142,-0.0023742146045872543
3.4000000000000004,44.99349091865044,-0.004309092308010146,-0.002516341282037408
3.5,44.99306000941964,-0.0045607264362138855,-0.002612730207772289
3.6,44.992603936776014,-0.004821999456991115,-0.0027152526937768906
3.7,44.99212173683031,-0.005093524726368804,-0.0027653078275943392
3.8000000000000003,44.99161238435768,-0.005370055509128238,-0.0027006222319336777
3.9000000000000004,44.99107537880676,-0.005640117732321606,-0.002647260105536213
4.0,44.990511367033534,-0.0059048437428752265,-0.00261028476178354
4.1000000000000005,44.98992088265925,-0.006165872219053582,-0.0025072336868253984
4.2,44.98930429543734,-0.006416595587736121,-0.0024206444076858152
4.3,44.98866263587857,-0.0066586600285047015,-0.0023722669195726637
4.4,44.987996769875714,-0.006895886720461969,-0.0023276829763392913
