t,TN2,Tm,Thp,Tf,c[1],c[2],c[3],c[4],c[5],c[6],n,rho_dollars,Q_to_steam,drumAngleDeg
0.0,90.0,135.0,67.5,22.5,-45.0,4.5,180.0,-22.5,112.5,33.75,56.25,-90.0,11.25,45.0
0.1,89.94498324911791,134.91747487367687,67.45873743683843,22.486245812279478,-44.972491624558955,4.497249162455896,179.88996649823582,-22.486245812279478,112.43122906139739,33.72936871841922,56.215614530698694,-89.94498324911791,11.243122906139739,44.972491624558955
0.2,89.89077507405688,134.8361626110853,67.41808130554266,22.47269376851422,-44.94538753702844,4.494538753702844,179.78155014811375,-22.47269376851422,112.3634688425711,33.70904065277133,56.18173442128555,-89.89077507405688,11.23634688425711,44.94538753702844
0.30000000000000004,89.83753155785712,134.75629733678568,67.37814866839284,22.45938288946428,-44.91876577892856,4.491876577892856,179.67506311571424,-22.45938288946428,112.2969144473214,33.68907433419642,56.1484572236607,-89.83753155785712,11.22969144473214,44.91876577892856
0.4,89.78539681091428,134.67809521637142,67.33904760818571,22.44634920272857,-44.89269840545714,4.489269840545714,179.57079362182856,-22.44634920272857,112.23174601364285,33.669523804092854,56.115873006821424,-89.78539681091428,11.223174601364285,44.89269840545714
0.5,89.7345219201286,134.6017828801929,67.30089144009645,22.43363048003215,-44.8672609600643,4.48672609600643,179.4690438402572,-22.43363048003215,112.16815240016075,33.650445720048225,56.084076200080375,-89.7345219201286,11.216815240016075,44.8672609600643
0.6000000000000001,89.68505362555965,134.52758043833947,67.26379021916973,22.42126340638991,-44.84252681277982,4.484252681277982,179.3701072511193,-22.42126340638991,112.10631703194956,33.63189510958487,56.05315851597478,-89.68505362555965,11.210631703194956,44.84252681277982
0.7000000000000001,89.63703019704192,134.4555452955629,67.22777264778145,22.40925754926048,-44.81851509852096,4.481851509852096,179.27406039408385,-22.40925754926048,112.0462877463024,33.613886323890725,56.0231438731512,-89.63703019704192,11.20462877463024,44.81851509852096
0.8,89.59042080400803,134.38563120601205,67.19281560300603,22.39760520100201,-44.79521040200402,4.479521040200402,179.18084160801607,-22.39760520100201,111.98802600501004,33.59640780150301,55.99401300250502,-89.59042080400803,11.198802600501004,44.79521040200402
0.9,89.54519601845041,134.31779402767563,67.15889701383782,22.386299004612603,-44.772598009225206,4.47725980092252,179.09039203690082,-22.386299004612603,111.93149502306301,33.57944850691891,55.965747511531504,-89.54519601845041,11.193149502306301,44.772598009225206
1.0,89.50130399807688,134.25195599711532,67.12597799855766,22.37532599951922,-44.75065199903844,4.475065199903844,179.00260799615376,-22.37532599951922,111.8766299975961,33.56298899927883,55.93831499879805,-89.50130399807688,11.18766299975961,44.75065199903844
1.1,89.45868513545417,134.18802770318126,67.09401385159063,22.364671283863544,-44.72934256772709,4.472934256772709,178.91737027090835,-22.364671283863544,111.82335641931772,33.547006925795316,55.91167820965886,-89.45868513545417,11.182335641931772,44.72934256772709
1.2000000000000002,89.41731059784078,134.12596589676116,67.06298294838058,22.354327649460195,-44.70865529892039,4.4708655298920394,178.83462119568156,-22.354327649460195,111.77163824730098,33.53149147419029,55.88581912365049,-89.41731059784078,11.177163824730098,44.70865529892039
1.3,89.37716852700791,134.06575279051185,67.03287639525593,22.344292131751978,-44.688584263503955,4.468858426350396,178.75433705401582,-22.344292131751978,111.7214606587599,33.51643819762796,55.86073032937995,-89.37716852700791,11.172146065875989,44.688584263503955
1.4000000000000001,89.33820756359046,134.0073113453857,67.00365567269284,22.334551890897615,-44.66910378179523,4.466910378179523,178.67641512718092,-22.334551890897615,111.67275945448807,33.50182783634642,55.83637972724404,-89.33820756359046,11.167275945448807,44.66910378179523
1.5,89.30038655349296,133.95057983023943,66.97528991511972,22.32509663837324,-44.65019327674648,4.465019327674648,178.6007731069859,-22.32509663837324,111.6254831918662,33.48764495755986,55.8127415959331,-89.30038655349296,11.16254831918662,44.65019327674648
1.6,89.26371092687829,133.89556639031744,66.94778319515872,22.315927731719572,-44.631855463439145,4.463185546343914,178.52742185375658,-22.315927731719572,111.57963865859786,33.47389159757936,55.78981932929893,-89.26371092687829,11.157963865859786,44.631855463439145
1.7000000000000002,89.22817064545215,133.84225596817822,66.92112798408911,22.307042661363038,-44.614085322726076,4.461408532272608,178.4563412909043,-22.307042661363038,111.5352133068152,33.460563992044555,55.7676066534076,-89.22817064545215,11.153521330681519,44.614085322726076
1.8,89.19372357887333,133.79058536831,66.895292684155,22.298430894718333,-44.596861789436666,4.459686178943667,178.38744715774666,-22.298430894718333,111.49215447359167,33.4476463420775,55.746077236795834,-89.19372357887333,11.149215447359166,44.596861789436666
1.9000000000000001,89.16030535297861,133.7404580294679,66.87022901473395,22.290076338244653,-44.580152676489305,4.458015267648931,178.32061070595722,-22.290076338244653,111.45038169122327,33.435114507366976,55.725190845611635,-89.16030535297861,11.145038169122326,44.580152676489305
2.0,89.12786214396981,133.6917932159547,66.84589660797735,22.281965535992452,-44.563931071984904,4.45639310719849,178.25572428793961,-22.281965535992452,111.40982767996226,33.422948303988676,55.70491383998113,-89.12786214396981,11.140982767996226,44.563931071984904
2.1,89.09630639264263,133.64445958896394,66.82222979448197,22.274076598160658,-44.548153196321316,4.454815319632131,178.19261278528526,-22.274076598160658,111.3703829908033,33.411114897240985,55.68519149540165,-89.09630639264263,11.137038299080329,44.548153196321316
2.2,89.06553096787052,133.59829645180577,66.79914822590288,22.26638274196763,-44.53276548393526,4.453276548393526,178.13106193574103,-22.26638274196763,111.33191370983815,33.39957411295144,55.665956854919074,-89.06553096787052,11.133191370983814,44.53276548393526
2.3000000000000003,89.03546192803357,133.55319289205036,66.77659644602518,22.258865482008392,-44.517730964016785,4.451773096401679,178.07092385606714,-22.258865482008392,111.29432741004196,33.38829822301259,55.64716370502098,-89.03546192803357,11.129432741004196,44.517730964016785
2.4000000000000004,89.00609272731043,133.50913909096565,66.75456954548282,22.251523181827608,-44.503046363655216,4.450304636365522,178.01218545462086,-22.251523181827608,111.25761590913804,33.37728477274141,55.62880795456902,-89.00609272731043,11.125761590913804,44.503046363655216
2.5,88.97743897896186,133.46615846844279,66.73307923422139,22.244359744740464,-44.48871948948093,4.448871948948093,177.9548779579237,-22.244359744740464,111.22179872370232,33.366539617110696,55.61089936185116,-88.97743897896186,11.122179872370232,44.48871948948093
2.6,88.94951794503898,133.42427691755847,66.71213845877924,22.237379486259744,-44.47475897251949,4.447475897251949,177.89903589007795,-22.237379486259744,111.18689743129872,33.35606922938962,55.59344871564936,-88.94951794503898,11.118689743129872,44.47475897251949
2.7,88.92236445799959,133.38354668699938,66.69177334349969,22.230591114499898,-44.461182228999796,4.44611822289998,177.84472891599918,-22.230591114499898,111.1529555724995,33.345886671749845,55.57647778624975,-88.92236445799959,11.115295557249949,44.461182228999796
2.8000000000000003,88.89599019618241,133.3439852942736,66.6719926471368,22.223997549045603,-44.447995098091205,4.444799509809121,177.79198039236482,-22.223997549045603,111.11998774522802,33.3359963235684,55.55999387261401,-88.89599019618241,11.111998774522801,44.447995098091205
2.9000000000000004,88.8704000671731,133.30560010075965,66.65280005037982,22.217600016793273,-44.43520003358655,4.443520003358655,177.7408001343462,-22.217600016793273,111.08800008396636,33.32640002518991,55.54400004198318,-88.8704000671731,11.108800008396637,44.43520003358655
3.0,88.84560966103842,133.26841449155762,66.63420724577881,22.211402415259606,-44.42280483051921,4.442280483051921,177.69121932207685,-22.211402415259606,111.05701207629804,33.317103622889405,55.52850603814902,-88.84560966103842,11.105701207629803,44.42280483051921
